tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Crocidura_grandiceps,Crocidura_grandiceps,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_hildegardeae,Crocidura_hildegardeae,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_eisentrauti,Crocidura_eisentrauti,direct,Eulipotyphla,Soricidae,Crocidura,VU,0.0
Crocidura_vosmaeri,Crocidura_vosmaeri,direct,Eulipotyphla,Soricidae,Crocidura,DD,0.0
Crocidura_religiosa,Crocidura_religiosa,direct,Eulipotyphla,Soricidae,Crocidura,DD,0.0
Crocidura_attila,Crocidura_attila,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_telfordi,Crocidura_telfordi,direct,Eulipotyphla,Soricidae,Crocidura,VU,0.0
Crocidura_dhofarensis,Crocidura_dhofarensis,direct,Eulipotyphla,Soricidae,Crocidura,DD,0.0
Crocidura_maxi,Crocidura_maxi,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_nicobarica,Crocidura_nicobarica,direct,Eulipotyphla,Soricidae,Crocidura,CR,0.0
